imports,exports,energy,year,country,four_regions,six_regions,eight_regions,world_bank_region
,,,1997,Afghanistan,asia,south_asia,asia_west,South Asia
36.7,11.5,427,1997,Albania,europe,europe_central_asia,europe_east,Europe & Central Asia
22.5,22.6,825,1997,Algeria,africa,middle_east_north_africa,africa_north,Middle East & North Africa
,,,1997,American Samoa,,,,
,,434,1997,Angola,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
83.4,112,,1997,Antigua and Barbuda,americas,america,america_north,Latin America & Caribbean
12.9,10.4,1660,1997,Argentina,americas,america,america_south,Latin America & Caribbean
52.8,19,610,1997,Armenia,europe,europe_central_asia,europe_east,Europe & Central Asia
83.6,79.7,,1997,Aruba,,,,
20.5,19.6,5550,1997,Australia,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
38.6,38.4,3610,1997,Austria,europe,europe_central_asia,europe_west,Europe & Central Asia
54.5,22.7,1490,1997,Azerbaijan,europe,europe_central_asia,europe_east,Europe & Central Asia
43.1,34.7,,1997,Bahamas,americas,america,america_north,Latin America & Caribbean
63.9,64.6,12.4k,1997,Bahrain,asia,middle_east_north_africa,asia_west,Middle East & North Africa
16.1,11.8,142,1997,Bangladesh,asia,south_asia,asia_west,South Asia
45.7,42.4,,1997,Barbados,americas,america,america_north,Latin America & Caribbean
63.9,59.1,2470,1997,Belarus,europe,europe_central_asia,europe_east,Europe & Central Asia
60.5,64.2,5600,1997,Belgium,europe,europe_central_asia,europe_west,Europe & Central Asia
56.9,52.6,,1997,Belize,americas,america,america_north,Latin America & Caribbean
32.5,27.1,340,1997,Benin,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
,,,1997,Bermuda,,,,
51.3,34.3,,1997,Bhutan,asia,south_asia,asia_west,South Asia
32.6,19.7,551,1997,Bolivia,americas,america,america_south,Latin America & Caribbean
98.4,27.3,897,1997,Bosnia and Herzegovina,europe,europe_central_asia,europe_east,Europe & Central Asia
52.6,49.3,1060,1997,Botswana,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
9.41,7.03,1080,1997,Brazil,americas,america,america_south,Latin America & Caribbean
57.4,50.5,7290,1997,Brunei,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
35.1,41.9,2430,1997,Bulgaria,europe,europe_central_asia,europe_east,Europe & Central Asia
28.1,12.8,,1997,Burkina Faso,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
19.4,8,,1997,Burundi,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
44.4,31.2,296,1997,Cambodia,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
22.5,22.5,408,1997,Cameroon,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
38.1,40,7950,1997,Canada,americas,america,america_north,North America
59.1,22.8,,1997,Cape Verde,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
28.4,22.7,,1997,Central African Republic,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
29.6,18.5,,1997,Chad,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
28.8,25.5,1570,1997,Chile,americas,america,america_south,Latin America & Caribbean
14.1,18.3,869,1997,China,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
20.9,15,749,1997,Colombia,americas,america,america_south,Latin America & Caribbean
26.9,8.84,,1997,Comoros,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
32.9,29.8,308,1997,"Congo, Dem. Rep.",africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
72.6,76.3,246,1997,"Congo, Rep.",africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
48.1,44,627,1997,Costa Rica,americas,america,america_north,Latin America & Caribbean
35,41.4,378,1997,Cote d'Ivoire,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
36.1,29.3,1950,1997,Croatia,europe,europe_central_asia,europe_east,Europe & Central Asia
18.3,14.3,1030,1997,Cuba,americas,america,america_north,Latin America & Caribbean
,,18.8k,1997,Curaçao,,,,
66.2,68.7,2170,1997,Cyprus,europe,europe_central_asia,europe_west,Europe & Central Asia
42.4,42.1,4060,1997,Czech Republic,europe,europe_central_asia,europe_east,Europe & Central Asia
34.1,37.2,3770,1997,Denmark,europe,europe_central_asia,europe_west,Europe & Central Asia
,,,1997,Djibouti,africa,middle_east_north_africa,africa_north,Middle East & North Africa
53.4,47,,1997,Dominica,americas,america,america_north,Latin America & Caribbean
41.6,34.3,786,1997,Dominican Republic,americas,america,america_north,Latin America & Caribbean
25.5,17.9,725,1997,Ecuador,americas,america,america_south,Latin America & Caribbean
25.7,16.2,629,1997,Egypt,africa,middle_east_north_africa,africa_north,Middle East & North Africa
36.5,24.4,630,1997,El Salvador,americas,america,america_north,Latin America & Caribbean
,,,1997,Equatorial Guinea,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
80.1,14.8,307,1997,Eritrea,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
83.3,73.7,3700,1997,Estonia,europe,europe_central_asia,europe_east,Europe & Central Asia
84.8,67.2,,1997,Eswatini,,,,
,,478,1997,Ethiopia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
41.8,44.2,,1997,Faeroe Islands,,,,
58.4,60.9,,1997,Fiji,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
29.5,37.4,6320,1997,Finland,europe,europe_central_asia,europe_east,Europe & Central Asia
23.4,26.1,4150,1997,France,europe,europe_central_asia,europe_west,Europe & Central Asia
28.7,4.09,,1997,French Polynesia,,,,
48.6,47.4,1290,1997,Gabon,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
28.6,25.3,,1997,Gambia,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
37.1,16.5,716,1997,Georgia,europe,europe_central_asia,europe_east,Europe & Central Asia
25.2,26.4,4180,1997,Germany,europe,europe_central_asia,europe_west,Europe & Central Asia
46.7,33.9,403,1997,Ghana,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
,,3900,1997,Gibraltar,,,,
26,16.3,2390,1997,Greece,europe,europe_central_asia,europe_west,Europe & Central Asia
,,,1997,Greenland,,,,
56.8,37.2,,1997,Grenada,americas,america,america_north,Latin America & Caribbean
,,,1997,Guam,,,,
26.3,18.2,563,1997,Guatemala,americas,america,america_north,Latin America & Caribbean
26.9,21.3,,1997,Guinea,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
35.8,14.4,,1997,Guinea-Bissau,africa,sub_saharan_africa,africa_sub_saharan,Sub-Saharan Africa
108,95.9,,1997,Guyana,americas,america,america_south,Latin America & Caribbean
26.6,9.9,251,1997,Haiti,americas,america,america_north,Latin America & Caribbean
64.3,57.8,535,1997,Honduras,americas,america,america_north,Latin America & Caribbean
110,111,2000,1997,"Hong Kong, China",asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
54.5,52.9,2500,1997,Hungary,europe,europe_central_asia,europe_east,Europe & Central Asia
38.1,33.8,9040,1997,Iceland,europe,europe_central_asia,europe_west,Europe & Central Asia
12.7,11,399,1997,India,asia,south_asia,asia_west,South Asia
43.2,53,666,1997,Indonesia,asia,east_asia_pacific,east_asia_pacific,East Asia & Pacific
